feature_key,feature_present,feature_past,feature_gerund,feature_person,feature_type
10 years old,is 10 years old,been 10 years old,being 10 years old,10-year-old person,demographics
19 years old,is 19 years old,been 19 years old,being 19 years old,19-year-old person,demographics
24 years old,is 24 years old,been 24 years old,being 24 years old,24-year-old person,demographics
26 years old,is 26 years old,been 26 years old,being 26 years old,26-year-old person,demographics
27 years old,is 27 years old,been 27 years old,being 27 years old,27-year-old person,demographics
32 years old,is 32 years old,been 32 years old,being 32 years old,32-year-old person,demographics
34 years old,is 34 years old,been 34 years old,being 34 years old,34-year-old person,demographics
43 years old,is 43 years old,been 43 years old,being 43 years old,43-year-old person,demographics
45 years old,is 45 years old,been 45 years old,being 45 years old,45-year-old person,demographics
68 years old,is 68 years old,been 68 years old,being 68 years old,68-year-old person,demographics
absent-minded personality,has an absent-minded personality,had an absent-minded personality,having an absent-minded personality,person with an absent-minded personality,dispositions
admire their father,admires his father,admired his father,admiring his father,person who admires his father,dispositions
ambitious person,is an ambitious person,been an ambitious person,being an ambitious person,ambitious person,dispositions
angered by wilson comments,was angered by Wilson's comments,been angered by Wilson's comments,being angered by Wilson's comments,,actions
artist,is an artist,been an artist,being an artist,artist,demographics
asian,is Asian,been Asian,being Asian,Asian person,demographics
asthma,has asthma,had asthma,having asthma,person with asthma,demographics
attend couples therapy years ago,attended couples therapy years ago,attended couples therapy years ago,attending couples therapy years ago,person who had attended couples therapy,dispositions
average iq,has an average IQ,had an average IQ,having an average IQ,person with an average IQ,demographics
babysit on weekends,babysits on the weekends,babysat on the weekends,babysitting on the weekends,babysitter,dispositions
black,is Black,been Black,being Black,Black person,demographics
build their barn near border with vincent property,built his barn near the border with Vincent's property,built their barn near the border with Vincent's property,building his barn near the border with Vincent's property,,actions
calm personality,has a calm personality,had a calm personality,having a calm personality,person with a calm personality,dispositions
cardiologist,is a cardiologist,been a cardiologist,being a cardiologist,cardiologist,demographics
check annie vitals,checked Annie's vitals,checked Annie's vitals,checking Annie's vitals,,actions
check that there were no other cars nearby,checked that there were no other cars nearby,checked that there were no other cars nearby,checking that there were no other cars nearby,,actions
cheerful personality,has a cheerful personality,had a cheerful personality,having a cheerful personality,person with a cheerful personality,dispositions
christian,is Christian,been Christian,being Christian,Christian person,demographics
clinical research assistant,is a clinical research assistant,been a clinical research assistant,being a clinical research assistant,clinical research assistant,demographics
collect vinyl records,collects vinyl records,collected vinyl records,collecting vinyl records,person who collects vinyl records,dispositions
college student,is a college student,been a college student,being a college student,college student,demographics
communicate and interact well with children,communicates and interacts well with children,communicated and interacted well with children,communicating and interacting well with children,person who interacts well with children,dispositions
compassionate person,is a compassionate person,been a compassionate person,being a compassionate person,compassionate person,dispositions
compose music in their free time,composes music in her free time,composed music in their free time,composing music in her free time,person who composes music,dispositions
concerned with hayfires,was concerned with hayfires,been concerned with hayfires,being concerned with hayfires,,actions
consider buying hay-drying equipment,considered buying hay-drying equipment,considered buying hay-drying equipment,considering buying hay-drying equipment,,actions
counselor,is a counselor,been a counselor,being a counselor,counselor,demographics
courteous person,is a courteous person,been a courteous person,being a courteous person,courteous person,dispositions
curious personality,has a curious personality,had a curious personality,having a curious personality,person with a curious personality,dispositions
